,symbol,shortName,stockName,githubUser,verified,notes,website,industry,multiple_orgs,scraper
0,AMZN,Amazon,amazon.com inc. common stock,amzn,1,,,Catalog/Specialty Distribution,https://amzn.github.io/,1
1,WORK,Slack,slack technologies inc. class a common stock,slackapi,1,others: slackhq (not verified),,EDP Services,0,
2,CSCO,Cisco,cisco systems inc. common stock (de),cisco,1,,,Computer peripheral equipment,https://developer.cisco.com/site/opensource/,
3,ESTC,Elastic,elastic n.v. ordinary shares,elastic,0,referred to in the official site ,https://www.elastic.co/about/free-and-open?elektra=organic&storm=CLP&rogue=free-and-open-gic,Computer Software: Prepackaged Software,0,
4,NFLX,Netflix,netflix inc. common stock,netflix,0,referred to in the official site ,https://netflix.github.io/,Movies/Entertainment,0,
5,PINS,Pinterest,pinterest inc. class a common stock,pinterest,1,,,,https://opensource.pinterest.com/,1
6,SSTK,Shutterstock,shutterstock inc. common stock,shutterstock,1,,,,0,
7,INTU,intuit,Intuit Inc.,intuit,0,referred to in the official site ,https://opensource.intuit.com/app/intuit-open-source/open-source,Computer Software: Prepackaged Software,0,
8,OKTA,Okta,okta inc. class a common stock,okta,1,,,EDP Services,0,
9,SHOP,Shopify,shopify inc. class a subordinate voting shares,shopify,0,referred to in the official site ,https://shopify.github.io/?shpxid=3b5f4b57-7069-435A-B162-849716A3AA7D,,0,
10,ABNB,Airbnb,airbnb inc. class a common stock,airbnb,1,,,Industrial Machinery/Components,0,
11,ZEN,Zendesk,zendesk inc. common stock,zendesk,1,,,EDP Services,0,
12,ORCL,Oracle,oracle corporation common stock,oracle,1,,,Computer Software: Prepackaged Software,https://opensource.oracle.com/,1
13,FVRR,Fiverr,fiverr international ltd. ordinary shares no par value,fiverr,0,referred to in the official site,https://opensource.fiverr.com/,Business Services,0,
14,WIX,Wix.com,wix.com ltd. ordinary shares,wix,1,,,,0,
15,ADSK,Autodesk,autodesk inc. common stock,autodesk,1,,,Computer Software: Prepackaged Software,https://autodesk.github.io/,1
16,EB,Eventbrite,eventbrite inc. class a common stock,eventbrite,0,referred to in the official site,https://www.eventbrite.com/open-source/,EDP Services,0,
